Feature,Mean_Absolute_SHAP
numeric__spo2,1.3045769
numeric__vomiting,0.787303
numeric__headache,0.76565653
numeric__diarrhea,0.7341529
numeric__temperature_c,0.48995715
numeric__sore_throat,0.41141486
numeric__weight_loss,0.33682418
numeric__neck_stiffness,0.31435475
numeric__fatigue,0.29632983
numeric__cough,0.27330586
numeric__tb_contact,0.25084075
numeric__fever,0.21394038
numeric__hemoglobin,0.2080189
numeric__resp_rate,0.20542067
numeric__wbc,0.20298003
numeric__platelets,0.16434407
numeric__bmi,0.09264901
numeric__age,0.08884205
numeric__heart_rate,0.08496651
numeric__days_symptoms,0.08179974
numeric__dbp,0.07918884
numeric__sbp,0.068479806
numeric__rash,0.04262828
numeric__vaccinated,0.023458574
numeric__mosquito_exposure,0.023405375
categorical__sex_Female,0.020129466
numeric__unsafe_water,0.018053615
categorical__month_Oct,0.01564966
categorical__month_Feb,0.014287674
categorical__state_Benue,0.014061115
categorical__season_Dry,0.013699762
categorical__state_Kaduna,0.01219649
numeric__recent_travel,0.010568195
categorical__state_Borno,0.010478966
categorical__month_Nov,0.010370174
categorical__state_Bauchi,0.010300296
categorical__month_Aug,0.010160741
categorical__state_Plateau,0.009870192
categorical__month_Mar,0.009846669
categorical__state_Rivers,0.009410192
categorical__month_Sep,0.008504819
categorical__state_Kano,0.0084150005
categorical__state_Enugu,0.008337319
categorical__month_Apr,0.0077748895
categorical__month_Jan,0.007551338
categorical__month_Dec,0.0074392506
categorical__state_FCT,0.0071964096
categorical__month_Jun,0.0071439557
categorical__state_Lagos,0.0068976213
categorical__state_Oyo,0.0068615787
categorical__state_Anambra,0.006670266
categorical__month_May,0.0065376405
categorical__month_Jul,0.006293528
categorical__sex_Male,0.00437994
categorical__season_Rainy,0.0029696333
numeric__pregnant,0.0013318044
